"ID","SRC_ID","COMN_CD","COMN_CD_NM","SEQ","DESCRIP","DEFAT_VAL_YN","IF_VAL","USE_YN","DEL_YN","ATTR_01_VAL","ATTR_02_VAL","ATTR_03_VAL","ATTR_04_VAL","ATTR_05_VAL","ATTR_06_VAL","ATTR_07_VAL","ATTR_08_VAL","ATTR_09_VAL","ATTR_10_VAL","CREATE_BY","CREATE_DTTM","MODIFY_BY","MODIFY_DTTM"
E7894E5DC7524655A3C9E31D758DC14A,"3BF1AB2C6E604A0D9CF50FA38D7D6EAD",N,"",2,"",N,,Y,N,"","",,,,,,,,,SYSTEM,1970-01-01 00:00:00.000,,
E7D8EAC6BD314AC187134649A2AEC174,"3C690CDC186848B39104039F10810C22",ITEM,Item,1,COMN_CODE_DESCRIP_MAX_ALLOCATION_TARGET_ITEM,N,Y,Y,N,,,,,,,,,,,admin,1970-01-01 00:00:00.000,,
E7E66B9FDF054AA69D7983E80C7203C9,"3A5088238BDF4731A3FF9ACF75C40CFC",SITE_BOD,Site BOD,1,COMN_CODE_DESCRIP_BOD_TP_SITE_BOD,N,Y,Y,N,,,,,,,,,,,admin,1970-01-01 00:00:00.000,,
E8008A8AC3EB45E496C26462062CBEC7,"4614AC5A52694EC7ACF7CA54013BB846",PCN,PCN,5,PCN,N,,Y,N,"","",,,,,,,,,SYSTEM,1970-01-01 00:00:00.000,,
E82241E122FD401AAC06318C61BB0C46,"10CBC2CDE62140C9918FC0D67D22D497",RP/MP,Replenishment / Master Planning,11,COMN_CODE_DESCRIP_MODULE_TP_RP/MP,N,N,N,N,,,,,,,,,,,admin,1970-01-01 00:00:00.000,,
E87B3675BD6F4029A27CD20C6D466891,D88C4AB6444545FE9B23FDC89298B1AC,FP_CNSM_PRECISION,Decimal scale used for consumption calculations,1,Precision arithmetic - consuming precision,N,,Y,N,"3",,,,,,,,,,SYSTEM,1970-01-01 00:00:00.000,,
E8BFD8FED6EA4F52994602307577F7BB,DE83A1B68E33454EB7D4EA3419590677,D,Day (매일 반복),2,Day (매일 반복),N,,Y,N,,,,,,,,,,,SYSTEM,1970-01-01 00:00:00.000,,
E909D028A2EA40E5984855F7BAF49EC8,BD3E278450634B359E67D4469FF95B33,PP_CON_02,Demand Facing Level,2,COMN_CODE_DESCRIP_PLAN_POLICY_TREE_ITEM_PP_CON_02,N,N,Y,N,,,,,,,,,,,admin,1970-01-01 00:00:00.000,,
E9213C3160C54209B28DEB670BCABF59,DE83A1B68E33454EB7D4EA3419590677,W,Week (매주 반복),3,Week (매주 반복),N,,Y,N,,,,,,,,,,,SYSTEM,1970-01-01 00:00:00.000,,
E955B9A0014143C6A3999B2CDD6AA27E,A7293315835644E49E4C8A07B984723F,ALIGN_CENTER,Center,20,COMN_CODE_DESCRIP_DS_H_ALIGN_ALIGN_CENTER,N,"",Y,N,,,,,,,,,,,admin,1970-01-01 00:00:00.000,,
EAA6A59CC2174B2FB34CA5D8382EBBE4,DE83A1B68E33454EB7D4EA3419590677,O,Once (1회),1,Once (1회),N,,Y,N,,,,,,,,,,,SYSTEM,1970-01-01 00:00:00.000,,
EAC43830B751431CA0B1DC56ECF872C2,"077D870F991D4A9DB63FE75360E8D6F5",RULE_RESOURCE_LAYER,Real Resource First,6,Prefer real resources over virtual resources.,N,,Y,N,,,,,,,,,,,SYSTEM,1970-01-01 00:00:00.000,,
ECD540EC0CB9489297FE7FA3CBEE20CB,"216CA9D1BB914955869E6C9297A48F7F",MD,MD,4,COMN_CODE_DESCRIP_ITEM_TP_MD,N,N,Y,N,,,,,,,,,,,admin,1970-01-01 00:00:00.000,admin,2019-09-19 15:26:46.417
EDAAC5F28E57464681DAC1A73188A2F8,"42F67A88646F42C69A9DFFC280FAC68F",ALT_MAT_05,Alter Mat Grp 05,5,COMN_CODE_DESCRIP_ALTERNATE_MAT_GROUP_ALT_MAT_05,N,Y,Y,N,,,,,,,,,,,admin,1970-01-01 00:00:00.000,,
EDE0177919D945518ADC88618A9866AC,AFDCAEDBF5074F93B56F77DEECC8D7F5,ALL,All,1,COMN_CODE_DESCRIP_CALENDAR_APPY_SCPE_ALL,N,N,Y,N,,,,,,,,,,,admin,1970-01-01 00:00:00.000,,
EE0DF459432E4022AC206A7FEFBD5CAB,"631872DE8F424A48833DBF16D49C623C",RULE_PLAN_SEQ_CUSTOMER_PRIORITY,Customer priority,4,Customer priority,N,,Y,N,,,,,,,,,,,SYSTEM,1970-01-01 00:00:00.000,,
EE1A9876722A4A9495E8D6A698A61002,"4614AC5A52694EC7ACF7CA54013BB846",PNL,PNL,7,PNL,N,,Y,N,"","",,,,,,,,,SYSTEM,1970-01-01 00:00:00.000,,
EF7519FAB1A643CEB06EB03C3AAB6693,CDFD38CF6C3D48F98295B6F276FE4696,A,Absolute,1,Absolute,N,,Y,N,,,,,,,,,,,SYSTEM,1970-01-01 00:00:00.000,,
EF75C5DB02D846319C202395005B2E4A,F9C5D34675534913B048A5E9C88157BF,FP_IS_REMOVE_IN_SHORTAGE,FP_IS_REMOVE_IN_SHORTAGE,2,COMN_CODE_DESCRIP_FP_PLAN_SETTING_FP_IS_REMOVE_IN_SHORTAGE,N,,Y,N,,,,,,,,,,,SYSTEM,1970-01-01 00:00:00.000,,
EFAF86B218F44100A9FE67847D5EFF79,"4906481EDAB94B78B33025A14086EE57",DAY,Unit of evaluation period for target inventory - Day,1,COMN_CODE_DESCRIP_TARGET_INV_EVAL_PERIOD_UOM_DAY,N,N,Y,N,,,,,,,,,,,admin,1970-01-01 00:00:00.000,,
F034B4081B9B48E39800C7A66FF3F6C3,"08AA284C94904990B24ED3B81913C89E",FP_STEP_VERSION_CREATION,Step to create new version,1,Step to create new version,N,,Y,N,"","",,,,,,,,,SYSTEM,1970-01-01 00:00:00.000,,
F0BA33C26516480EB1C6678919F7278C,"3A5088238BDF4731A3FF9ACF75C40CFC",SALES_BOD,Sales BOD,2,COMN_CODE_DESCRIP_BOD_TP_SALES_BOD,N,Y,Y,N,,,,,,,,,,,admin,1970-01-01 00:00:00.000,,
F0FF63BA8FC54FBF8CE274DA6B2370B0,FCCFB5FB66784C55B67C4EB30A6986B8,ICFM,ICFM,2,COMN_CODE_DESCRIP_PUSH_TP_ICFM,N,N,Y,N,,,,,,,,,,,admin,1970-01-01 00:00:00.000,,
F13A68AD51C64ABBB994B73D185A4163,"1D47BA6684C54B96B540D237D1616A3C",FP_DEMAND_GROUP_RULE_CUSTOMER_ID,FP_DEMAND_GROUP_RULE_CUSTOMER_ID,3,COMN_CODE_DESCRIP_FP_WO_CREATION_GROUP_RULE_POLICY_FP_DEMAND_GROUP_RULE_CUSTOMER_ID,N,,Y,N,,,,,,,,,,,SYSTEM,1970-01-01 00:00:00.000,,
F1BCF00014944A5A892E1E723549CDF9,"0CA775280C084BF7B0CDE931B948F7A6","20","20",20,COMN_CODE_DESCRIP_DAY_OF_MONTH_20,N,N,Y,N,,,,,,,,,,,admin,1970-01-01 00:00:00.000,,
F1C11B5F7DA548B6959E620302EE5EF6,EA13ECF5FA4B4C018D2D1597642D633D,DRCM_01,Actual (All),1,COMN_CODE_DESCRIP_DEMAND_RATE_CAL_METHOD_DRCM_01,N,N,Y,N,,,,,,,,,,,admin,1970-01-01 00:00:00.000,,
F254CB5D12FC4018886D531FACDFC8BE,"0CA775280C084BF7B0CDE931B948F7A6","13","13",13,COMN_CODE_DESCRIP_DAY_OF_MONTH_13,N,N,Y,N,,,,,,,,,,,admin,1970-01-01 00:00:00.000,,
F2DA5808CA49440A920F221E124CAFAA,"4661050F178145B69D81DD3F5895B305",PROPORTION,PROPORTION,3,COMN_CODE_DESCRIP_BASE_ALLOC_RULE_PROPORTION,N,N,Y,N,,,,,,,,,,,admin,1970-01-01 00:00:00.000,,
F3C1A1FBF9A94FDC8AAE522B0CF7CF45,"94D5B4FF67524526898478A85E25273A",FIFO_NONE,Not applied,1,Not applied,N,,Y,N,"","",,,,,,,,,SYSTEM,1970-01-01 00:00:00.000,,
F440886061174855A5FD6054ED21E8DD,"964FA8DB39F84603A0D91A21BD82F7AB","3/4","3/4",3,COMN_CODE_DESCRIP_QUADRANT_3/4,N,N,Y,N,,,,,,,,,,,admin,1970-01-01 00:00:00.000,,
F598153C140B4EBFAAF3E93ECC4BDC79,EA459046DE2049BA9D66C57800140A91,DEMAND_BASE,Demand Criteria,1,COMN_CODE_DESCRIP_MIN_ALLOCATION_APPLY_TYPE_DEMAND_BASE,N,Y,Y,N,,,,,,,,,,,admin,1970-01-01 00:00:00.000,,
F5CC12B121B24C169C7649B4C1E0698F,A99CC5A2CEAE4583A317C70B89D86E0B,FCIM,FCIM,3,COMN_CODE_DESCRIP_ORD_CAPA_MAT_COST_FCIM,N,N,Y,N,,,,,,,,,,,admin,1970-01-01 00:00:00.000,,
F681DA4D9DFD4C73A56832B4DFD44235,BE8E7665031B417C91DD75318AB34012,NEXT_MONTH,Next Month,5,COMN_CODE_DESCRIP_START_DATE_TP_NEXT_MONTH,N,N,Y,N,,,,,,,,,,,admin,1970-01-01 00:00:00.000,,
F7354CCA49AB4EA9A51DD0EE20E9299F,F01AFBA4DB114CC897BACD33E58999AF,D4,D4,4,D4,N,,Y,N,"120",MINUTE,,,,,,,,,SYSTEM,1970-01-01 00:00:00.000,,
F741F8D55AA2400DAC7BEADF3512C0FB,"177D46CB402E49E69D2486DAA478D716",CONTENT_GRP_SNOP,S&OP,10,COMN_CODE_DESCRIP_DS_GRP_NAME_CONTENT_GRP_SNOP,N,,Y,N,,,,,,,,,,,admin,1970-01-01 00:00:00.000,,
F7D7970B432E4EA9B7F2814CC0674AB3,"631872DE8F424A48833DBF16D49C623C",RULE_PLAN_SEQ_WORK_ORDER_CODE,Work order code,10,Work order code,N,,Y,N,,,,,,,,,,,SYSTEM,1970-01-01 00:00:00.000,,
F80A2BC670BC4F26BF1A328E65ACAF20,F2B2F2B843954B94AA97F55F434933D4,POSTPONEMENT,Postponement,1,COMN_CODE_DESCRIP_STOCK_LOCATION_MGMT_TP_POSTPONEMENT,N,N,Y,N,,,,,,,,,,,admin,1970-01-01 00:00:00.000,,
F8749CC1F0F84519B8D1088B4716E1FF,DE60F53C0C4049E7815F2001281C96A6,New,New Demand,1,COMN_CODE_DESCRIP_DEMAND_CLASS_NEW,N,Y,Y,N,,,,,,,,,,,admin,1970-01-01 00:00:00.000,,
F8B63B1F067A4936A11900A5CD19F644,E6E1C9CBF9074404AD790C2893213F48,RULE_BASE_SYSTEM,Rule Base,1,COMN_CODE_DESCRIP_INVENTORY_MGMT_SYSTEM_TYPE_RULE_BASE_SYSTEM,N,Y,N,Y,,,,,,,,,,,admin,1970-01-01 00:00:00.000,,
